b 304.0 104.0 12.0 12.0 112 139 99
b 328.0 104.0 12.0 12.0 107 121 73
b 352.0 104.0 12.0 12.0 98 113 78
b 280.0 128.0 12.0 12.0 197 169 4
b 304.0 128.0 12.0 12.0 240 207 8
b 328.0 128.0 12.0 12.0 234 213 40
b 352.0 128.0 12.0 12.0 250 225 43
b 376.0 128.0 12.0 12.0 240 217 41
b 400.0 128.0 12.0 12.0 92 120 94
b 544.0 128.0 12.0 12.0 89 107 84
b 256.0 152.0 12.0 12.0 160 140 11
b 280.0 152.0 12.0 12.0 213 189 20
b 304.0 152.0 12.0 12.0 176 184 186
b 328.0 152.0 12.0 12.0 252 252 252
b 352.0 152.0 12.0 12.0 239 241 241
b 376.0 152.0 12.0 12.0 171 157 31
b 400.0 152.0 12.0 12.0 252 227 44
b 424.0 152.0 12.0 12.0 143 127 14
b 448.0 152.0 12.0 12.0 131 143 82
b 472.0 152.0 12.0 12.0 108 112 50
b 496.0 152.0 12.0 12.0 229 198 7
b 520.0 152.0 12.0 12.0 232 209 20
b 544.0 152.0 12.0 12.0 240 218 41
b 568.0 152.0 12.0 12.0 252 226 44
b 592.0 152.0 12.0 12.0 148 139 45
b 232.0 176.0 12.0 12.0 110 133 93
b 256.0 176.0 12.0 12.0 240 209 9
b 280.0 176.0 12.0 12.0 196 199 199
b 304.0 176.0 12.0 12.0 253 253 253
b 328.0 176.0 12.0 12.0 253 253 253
b 352.0 176.0 12.0 12.0 253 253 253
b 376.0 176.0 12.0 12.0 217 220 221
b 400.0 176.0 12.0 12.0 251 231 71
b 424.0 176.0 12.0 12.0 253 229 52
b 448.0 176.0 12.0 12.0 241 209 12
b 472.0 176.0 12.0 12.0 239 205 5
b 496.0 176.0 12.0 12.0 113 106 94
b 520.0 176.0 12.0 12.0 251 251 251
b 544.0 176.0 12.0 12.0 251 251 251
b 568.0 176.0 12.0 12.0 99 99 73
b 592.0 176.0 12.0 12.0 252 230 57
b 616.0 176.0 12.0 12.0 130 123 32
b 232.0 200.0 12.0 12.0 202 173 4
b 256.0 200.0 12.0 12.0 182 166 30
b 280.0 200.0 12.0 12.0 253 253 253
b 304.0 200.0 12.0 12.0 253 253 253
b 328.0 200.0 12.0 12.0 253 253 253
b 352.0 200.0 12.0 12.0 253 253 253
b 376.0 200.0 12.0 12.0 253 253 253
b 400.0 200.0 12.0 12.0 163 148 25
b 424.0 200.0 12.0 12.0 253 227 44
b 448.0 200.0 12.0 12.0 238 204 5
b 472.0 200.0 12.0 12.0 119 107 40
b 496.0 200.0 12.0 12.0 253 253 253
b 520.0 200.0 12.0 12.0 253 253 253
b 544.0 200.0 12.0 12.0 253 253 253
